Tipo de Coeficiente,Coeficiente,Erro Padrão,AIC,BIC,store_id,Modelo,store_type,store_size,city_code
intercept,3.993079170698074,2.804062685517297,1786.1437394587401,1797.7051359716272,S0073," ARIMA(0,1,1)(0,0,1)[52] intercept",ST04,19.0,ISTANBUL
ma.L1,-0.8879341557505304,0.04443749406035417,1786.1437394587401,1797.7051359716272,S0073," ARIMA(0,1,1)(0,0,1)[52] intercept",ST04,19.0,ISTANBUL
ma.S.L52,0.21634371335829142,0.0836815733902096,1786.1437394587401,1797.7051359716272,S0073," ARIMA(0,1,1)(0,0,1)[52] intercept",ST04,19.0,ISTANBUL
sigma2,36324.864552961844,4343.89232611024,1786.1437394587401,1797.7051359716272,S0073," ARIMA(0,1,1)(0,0,1)[52] intercept",ST04,19.0,ISTANBUL
intercept,15.870721823737366,6.573532639388692,1931.2461876569253,1939.9172350415906,S0072," ARIMA(0,1,1)(0,0,0)[52] intercept",ST04,29.0,ISTANBUL
ma.L1,-0.8293343419816207,0.06413675185640523,1931.2461876569253,1939.9172350415906,S0072," ARIMA(0,1,1)(0,0,0)[52] intercept",ST04,29.0,ISTANBUL
sigma2,112427.46590007654,7046.924082074592,1931.2461876569253,1939.9172350415906,S0072," ARIMA(0,1,1)(0,0,0)[52] intercept",ST04,29.0,ISTANBUL
intercept,2.429888998600175,1.2504827889865704,1654.172982157129,1662.8440295417943,S0068," ARIMA(0,1,1)(0,0,0)[52] intercept",ST03,14.0,IZMIR
ma.L1,-0.9222535992015125,0.03555003698884026,1654.172982157129,1662.8440295417943,S0068," ARIMA(0,1,1)(0,0,0)[52] intercept",ST03,14.0,IZMIR
sigma2,13909.227333485733,752.0997527259175,1654.172982157129,1662.8440295417943,S0068," ARIMA(0,1,1)(0,0,0)[52] intercept",ST03,14.0,IZMIR
ar.L1,-0.6749632803188915,0.21269985489625395,1792.7433640750721,1807.195109716181,S0032," ARIMA(1,1,3)(0,0,0)[52]          ",ST03,14.0,VAN
ma.L1,0.16893796505151043,0.2244106896443809,1792.7433640750721,1807.195109716181,S0032," ARIMA(1,1,3)(0,0,0)[52]          ",ST03,14.0,VAN
ma.L2,-0.4450682712739951,0.14645120556842622,1792.7433640750721,1807.195109716181,S0032," ARIMA(1,1,3)(0,0,0)[52]          ",ST03,14.0,VAN
ma.L3,-0.3635546073442372,0.11727115019964406,1792.7433640750721,1807.195109716181,S0032," ARIMA(1,1,3)(0,0,0)[52]          ",ST03,14.0,VAN
sigma2,38220.094577286276,3229.847428834465,1792.7433640750721,1807.195109716181,S0032," ARIMA(1,1,3)(0,0,0)[52]          ",ST03,14.0,VAN
ma.L1,-0.761711429686248,0.07397843869005895,2022.244869644172,2028.0255679006154,S0010," ARIMA(0,1,1)(0,0,0)[52]          ",ST04,17.0,ISTANBUL
sigma2,223925.92405583462,17854.67466219348,2022.244869644172,2028.0255679006154,S0010," ARIMA(0,1,1)(0,0,0)[52]          ",ST04,17.0,ISTANBUL
ma.L1,-0.8451261990953002,0.049904882023948355,1940.7710898201824,1946.5517880766258,S0012," ARIMA(0,1,1)(0,0,0)[52]          ",ST04,28.0,ANTALYA
sigma2,121389.8882204136,9526.085512895681,1940.7710898201824,1946.5517880766258,S0012," ARIMA(0,1,1)(0,0,0)[52]          ",ST04,28.0,ANTALYA
ma.L1,-0.7062727732483122,0.06053111831745428,1778.8740365546792,1787.5450839393445,S0014," ARIMA(0,1,1)(1,0,0)[52]          ",ST03,14.0,ISTANBUL
ar.S.L52,0.3765802214800751,0.09910758954025976,1778.8740365546792,1787.5450839393445,S0014," ARIMA(0,1,1)(1,0,0)[52]          ",ST03,14.0,ISTANBUL
sigma2,33719.698432519166,3805.3429187789134,1778.8740365546792,1787.5450839393445,S0014," ARIMA(0,1,1)(1,0,0)[52]          ",ST03,14.0,ISTANBUL
ma.L1,-0.6194967048667892,0.06259795875388521,2040.2742254400603,2054.725971081169,S0015," ARIMA(0,1,2)(2,0,0)[52]          ",ST04,19.0,ISTANBUL
ma.L2,-0.21894618210834133,0.07301404823047433,2040.2742254400603,2054.725971081169,S0015," ARIMA(0,1,2)(2,0,0)[52]          ",ST04,19.0,ISTANBUL
ar.S.L52,0.1289866471058238,0.09474293889682596,2040.2742254400603,2054.725971081169,S0015," ARIMA(0,1,2)(2,0,0)[52]          ",ST04,19.0,ISTANBUL
ar.S.L104,0.3227719886479397,0.18496020102122046,2040.2742254400603,2054.725971081169,S0015," ARIMA(0,1,2)(2,0,0)[52]          ",ST04,19.0,ISTANBUL
sigma2,223312.69385881713,31350.589168836697,2040.2742254400603,2054.725971081169,S0015," ARIMA(0,1,2)(2,0,0)[52]          ",ST04,19.0,ISTANBUL
ar.L1,-0.8231501673428071,0.1154138801495832,1693.6534764825024,1705.2148729953894,S0016," ARIMA(1,1,2)(0,0,0)[52]          ",ST03,11.0,ISTANBUL
ma.L1,0.1451713610292933,0.09600979132583211,1693.6534764825024,1705.2148729953894,S0016," ARIMA(1,1,2)(0,0,0)[52]          ",ST03,11.0,ISTANBUL
ma.L2,-0.7640184977076276,0.07704760530275451,1693.6534764825024,1705.2148729953894,S0016," ARIMA(1,1,2)(0,0,0)[52]          ",ST03,11.0,ISTANBUL
sigma2,18509.868041198595,1884.3595819226086,1693.6534764825024,1705.2148729953894,S0016," ARIMA(1,1,2)(0,0,0)[52]          ",ST03,11.0,ISTANBUL
