Tipo de Coeficiente,Coeficiente,p_value,inter_conf_inf,inter_conf_sup,AIC,BIC,store_id,Modelo,store_type,store_size,city_code
Probin2_very_high,-5.996317901101597e-15,0.9844035891753786,-6.071983997886604e-13,5.952057639864571e-13,1627.3753411953808,1691.1278167943008,S0077," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,12.0,ISTANBUL
promo_discount_16,2.623071464623303e-15,,,,1627.3753411953808,1691.1278167943008,S0077," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,12.0,ISTANBUL
promo_discount_20,0.0,1.0,-1.503388606532558e-11,1.503388606532558e-11,1627.3753411953808,1691.1278167943008,S0077," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,12.0,ISTANBUL
promo_discount_35,0.0,,,,1627.3753411953808,1691.1278167943008,S0077," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,12.0,ISTANBUL
promo_discount_40,0.0,,0.0,0.0,1627.3753411953808,1691.1278167943008,S0077," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,12.0,ISTANBUL
promo_discount_50,0.0,,0.0,0.0,1627.3753411953808,1691.1278167943008,S0077," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,12.0,ISTANBUL
Primavera,-52.725811173665875,0.0537545839950915,-106.30327451316893,0.8516521658371872,1627.3753411953808,1691.1278167943008,S0077," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,12.0,ISTANBUL
Verao,-70.42451801825857,0.03457352844413193,-135.73863332476958,-5.11040271174754,1627.3753411953808,1691.1278167943008,S0077," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,12.0,ISTANBUL
Outono,-13.850692293724402,0.644517012358538,-72.68748850037157,44.986103912922765,1627.3753411953808,1691.1278167943008,S0077," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,12.0,ISTANBUL
Feriados,-18.79349623857511,0.3326668942610118,-56.81604467519068,19.229052198040463,1627.3753411953808,1691.1278167943008,S0077," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,12.0,ISTANBUL
ar.L1,0.9823012102734701,2.7306393336377324e-186,0.9161618970456336,1.0484405235013066,1627.3753411953808,1691.1278167943008,S0077," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,12.0,ISTANBUL
ma.L1,-0.9102666240879368,3.9159069972962294e-35,-1.0545223575019025,-0.7660108906739711,1627.3753411953808,1691.1278167943008,S0077," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,12.0,ISTANBUL
sigma2,8118.217177120718,9.13440298841395e-13,5890.650542076801,10345.783812164635,1627.3753411953808,1691.1278167943008,S0077," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,12.0,ISTANBUL
intercept,28.779503337795152,0.4802944479835578,-51.13614939170971,108.6951560673,1877.6546067977329,1941.4070823966529,S0080," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,14.0,ISTANBUL
