Tipo de Coeficiente;Coeficiente;Erro Padrão;AIC;BIC;store_id;Modelo
ma.L1;-0,447213402;0,130982227;1148,216392;1164,685985;S0016; ARIMA(1,0,3)(0,0,0)[0] intercept
ma.L2;-0,206717188;0,127264823;1148,216392;1164,685985;S0016; ARIMA(1,0,3)(0,0,0)[0] intercept
ma.L3;0,131723681;0,082828346;1148,216392;1164,685985;S0016; ARIMA(1,0,3)(0,0,0)[0] intercept
sigma2;1137,619726;147,17783;1148,216392;1164,685985;S0016; ARIMA(1,0,3)(0,0,0)[0] intercept
intercept;162,7984574;85,724192;1505,369369;1516,349097;S0020; ARIMA(1,0,1)(0,0,0)[0] intercept
ar.L1;0,882818892;0,059421268;1505,369369;1516,349097;S0020; ARIMA(1,0,1)(0,0,0)[0] intercept
ma.L1;-0,380703195;0,138521584;1505,369369;1516,349097;S0020; ARIMA(1,0,1)(0,0,0)[0] intercept
sigma2;26248,10934;2204,576501;1505,369369;1516,349097;S0020; ARIMA(1,0,1)(0,0,0)[0] intercept
intercept;96,58774374;28,66152296;1259,306649;1270,286377;S0022; ARIMA(2,0,0)(0,0,0)[0] intercept
ar.L1;0,339969337;0,106629279;1259,306649;1270,286377;S0022; ARIMA(2,0,0)(0,0,0)[0] intercept
ar.L2;0,413358255;0,090424238;1259,306649;1270,286377;S0022; ARIMA(2,0,0)(0,0,0)[0] intercept
sigma2;3090,95053;195,0613407;1259,306649;1270,286377;S0022; ARIMA(2,0,0)(0,0,0)[0] intercept
intercept;557,127913;33,00447947;1540,281659;1545,771523;S0023; ARIMA(0,0,0)(0,0,0)[0] intercept
